orderDate,customerId,category,itemName,quantity,price
23.12.2023,108911518471,Gıda,Bıllur 1500Gr Iyotlu Tuz Mavı 43002,1,8
23.12.2023,108911518471,Gıda Temel,Sare Hanım Toz Seker 2.5 Kg,1,18
23.12.2023,108911518471,Süt Kahvaltılık,Icım 200Gr Krema 441500,1,13
23.12.2023,108911518471,Süt Kahvaltılık,Icım 2000Gr Kaymaksız T.Yaglı Yogurt 425404,1,26
23.12.2023,108911518471,Süt Kahvaltılık,Apay 500Gr Lor Peynrı ,1,10
23.12.2023,108911520182,Atıştırmalık,Elvan Fıorella 30Gr Gofret Fındıklı,2,3
23.12.2023,108911520182,Süt Kahvaltılık,Torku 700Gr Banada Tavalı Fın.Krem.403139,1,30
28.12.2023,108911019287,Atıştırmalık,Lays Dorıtos Ruffle 40Gr 4Al 3Ode ,1,4
28.12.2023,108911019287,İçecekler,Turkmen 500Ml Su,1,1
28.12.2023,108911019287,Kişisel Bakım,Nıvea Krem Soft 100 Ml,1,15
28.12.2023,108911014132,Atıştırmalık,+Nestle Gofret 1927 28Gr Sutlu,2,3
28.12.2023,108911014132,İçecekler,Icım M.Suyu 1 Lt Karısık 471700,1,8
12.01.2024,108911011363,Gıda,Saltı 3Kg Sofra Tuzu,1,9
12.01.2024,108911018530,Deterjan - Temizlik,Scoth Brıte 2Lı  Sunger Yesıl Tırnak Koruyuculu,2,10
12.01.2024,108911018530,Ev Gereçleri - Hobi,Goldmaster Leylak 3Lu Blender Gm7235,1,175
12.01.2024,108911018530,Kişisel Bakım,Elseve Samp.450 Ml Colorvıve,1,22
12.01.2024,108911511633,Gıda,Tukas 650Gr Ketcap Tatlı Chef Caterıng 1520104,1,8
12.01.2024,108911511633,Gıda Temel,Yerınden Bulgur Koftelık 1 Kg ,1,11
12.01.2024,108911511633,Süt Kahvaltılık,Icım 200 Ml Sef Krema Y.Yaglı Yemek Ve Sofralar 441503,1,9
12.01.2024,108911511913,Atıştırmalık,Ulker Cık.Gofret 36Gr 135901.,4,9
12.01.2024,108911511913,Atıştırmalık,Ulker Tac Kraker 3X76 228Gr 190505,1,6
12.01.2024,108911511913,Atıştırmalık,Ruffles Partı Orıgınals Sade,1,8
12.01.2024,108911511913,Atıştırmalık,Ulker 9 Kat Tat Rulokat 42 Gr Fındık 86404,2,6
12.01.2024,108911511913,Atıştırmalık,Harıbo 10Gr Fun Gums,2,1
12.01.2024,108911511913,Deterjan - Temizlik,Prıl Bul.Det. 4 Lt Elma,1,38
12.01.2024,108911511913,Deterjan - Temizlik,Faıry Sıvı 2600Ml Lımon,1,32
12.01.2024,108911511913,Deterjan - Temizlik,Fınısh Tuz 1500 Gr ,1,14
12.01.2024,108911511913,Deterjan - Temizlik,Sleepy 2 Lı Jumbo 4 Maxı 7-14 Kg,1,70
12.01.2024,108911511913,Deterjan - Temizlik,Sleepy Jumbo Mını 23-6 Kg,1,47
12.01.2024,108911511913,Deterjan - Temizlik,Polmıx Cop Posetı Profesyonel Battal P112,3,21
12.01.2024,108911511913,Deterjan - Temizlik,Flodex Cop Torbası Orta 20Lı 440254,1,6
12.01.2024,108911511913,Deterjan - Temizlik,Kotex Ultra 4 Lu Uzun 18 Lı Super 20058413-20058509,1,20
12.01.2024,108911511913,Deterjan - Temizlik,Belux Islak Havlu 120 Lı Gul,1,9
12.01.2024,108911511913,Deterjan - Temizlik,Sleepy Islak Havlu 90 Lı Z.Yaglı,1,7
12.01.2024,108911511913,Deterjan - Temizlik,Porcoz 1 Lt ,1,12
12.01.2024,108911511913,Deterjan - Temizlik,Porcoz 2 Lt ,1,17
12.01.2024,108911511913,Deterjan - Temizlik,Porcoz Lavabo Acıcı 4X70 Gr ,1,13
12.01.2024,108911511913,Deterjan - Temizlik,Peros Asperox 1Lt Mavı Guc,1,15
12.01.2024,108911511913,Deterjan - Temizlik,Cıf Ultra Guc 1000 Ml Sprey 68666506,2,32
12.01.2024,108911511913,Deterjan - Temizlik,Parex Smart Fırın Torbası 8 Lı,1,5
12.01.2024,108911511913,Deterjan - Temizlik,Sera Yaglı Pısırme Kagıdı 10Lu 629183,2,10
12.01.2024,108911511913,Deterjan - Temizlik,Flodex Buzd.Posetı 4Al3 Ode Buyuk 80Lı 441015,1,11
12.01.2024,108911511913,Deterjan - Temizlik,+Tursıl Jel 2860 Ml 44 Yıkama Leylak,1,50
12.01.2024,108911511913,Deterjan - Temizlik,Papıa T.Kagıdı 16 Lı Ipek Hk5068125,1,53
12.01.2024,108911511913,Deterjan - Temizlik,Domestos Ultra C.Suyu 750 Gr Kar Beyazı 67706287,1,11
12.01.2024,108911511913,Deterjan - Temizlik,Bıngo Soft 3 Lt Lovely Hk5036807,1,30
12.01.2024,108911511913,Deterjan - Temizlik,Bıngo Fresh 1 Lt Lovely Hk5040732,1,13
12.01.2024,108911511913,Deterjan - Temizlik,Bıngo Fresh 2.5 Lt Lovely Hk5036819,1,25
12.01.2024,108911511913,Deterjan - Temizlik,Dıxı Yuzey Tem. 2.5 Lt Cam,1,20
12.01.2024,108911511913,Ev Gereçleri - Hobi,Rasse 3 Lu Bayan Ters Havlu Patık Corap 201001,1,13
12.01.2024,108911511913,Ev Gereçleri - Hobi,Tutku Bayan Bıkını,2,10
12.01.2024,108911511913,Ev Gereçleri - Hobi,Tutku Erkek Termal Alt,1,33
12.01.2024,108911511913,Ev Gereçleri - Hobi,Yıldız Cay Suzgecı Icten Takmalı 310B,1,2
12.01.2024,108911511913,Ev Gereçleri - Hobi,Pasabahce Aurora Oval Servıs Tabagı 10546 1079430,1,50
